"English","Welsh"
"A court and tribunal hearing account is granted based on you having legitimate reasons to access information not open to the public e.g. you are a member of a media organisation and require extra information to report on hearings.

If your circumstances change and you no longer have legitimate reasons to hold a court and tribunal hearings account e.g. you leave your employer entered above. It is your responsibility to inform HMCTS of this for your account to be deactivated.

Please tick this box to agree to the above terms and conditions","Caniateir ichi gael cyfrif ar gyfer gwrandawiadau llys a thribiwnlys ar yr amod bod gennych resymau cyfreithiol dros gael mynediad at wybodaeth nad yw ar gael i'r cyhoedd e.e. rydych yn aelod o sefydliad cyfryngau ac angen gwybodaeth ychwanegol i riportio ar wrandawiadau.

Os bydd eich amgylchiadau'n newid ac nid oes gennych mwyach resymau cyfreithiol dros gael cyfrif ar gyfer gwrandawiadau llys a thribiwnlys e.e. rydych yn gadael eich cyflogwr a enwyd uchod, eich cyfrifoldeb chi yw hysbysu GLlTEM am hyn fel y gellir dadactifadu eich cyfrif.

Ticiwch y blwch hwn, os gwelwch yn dda i gytuno i'r telerau ac amodau uchod"
"A Court and Tribunal Hearings account is for professional users who require the ability to view HMCTS information such as hearing lists, but do not have the ability to create an account using MyHMCTS or Common Platform e.g. members of the media.
An account holder, once signed in, will be able choose what information they wish to receive via email and also view online information not available to the public, along with publicly available information.","Mae cyfrifon gwrandawiadau Llys a Thribiwnlys yn cael eu creu ar gyfer defnyddwyr proffesiynol sydd angen gallu gweld gwybodaeth GLlTEF fel rhestrau gwrandawiadau, ond nid oes ganddynt y gallu i greu cyfrif gan ddefnyddio MyHMCTS neu'r Platfform Cyffredin e.e. aelodau o'r cyfryngau"
"Account request submitted","Cyflwynwyd cais am gyfrif"
"Actions","Camau gweithredu"
"add a new email subscription","ychwanegu tanysgrifiad e-bost newydd"
"add a new subscription","ychwanegu tanysgrifiadau newydd"
"Add another","Ychwanegu un arall"
"Add another email Subscription","Ychwanegu tanysgrifiad e-bost arall"
"add email subscription","Ychwanegu tanysgrifiad e-bost"
"Add new subscription","Ychwanegu tanysgrifiad newydd"
"Add subscription by an alternative type","Ychwanegu tanysgrifiad yn 'l math gwahanol"
"Add Subscriptions","Ychwanegu tanysgrifiadau"
"Address","Cyfeiriad"
"Adjourned from","Wedi'i ohirio o"
"Agree to terms and conditions?","Cytuno i delerau ac amodau?"
"All subscriptions","Pob tanysgrifiad"
"Alphabetical links to courts and tribunals","Cysylltiadau â llysoedd a thribiwnlysoedd yn nhrefn yr wyddor"
"Alternatively, please click Home to return to the public version of the Court and tribunals hearings Service.","Fel arall, cliciwch ar Home i fynd yn 'l i'r fersiwn gyhoeddus o wasanaeth gwrandawiadau'r llysoedd a'r tribiwnlysoedd."
"An option must be selected","Rhaid dewis opsiwn"
"An option must be selected","Rhaid dewis opsiwn"
"Analytics Cookies","Cwcis dadansoddol"
"Any representation about the listing of a case should be made to the Listing Officer Immediately","Dylid gwneud unrhyw gynrychiolaeth am restru achos i'r Swyddog Rhestru ar unwaith"
"Any representation about the listing of a case should be made to the Listing Officer immediately.","Dylid cyflwyno unrhyw sylwadau am restru achos i'r Swyddog Rhestru yn ddi-oed."
"Appeal Reference Number","Cyfeirnod Apêl"
"Appellant","Apelydd"
"Applicant/Petitioner","Ceisydd/Deisebydd"
"April","Ebrill"
"Are you sure you want to remove these subscriptions?","Ydych chi'n siŵr eich bod eisiau dileu'r tanysgrifiadau hyn?"
"Are you sure you want to remove this publication?","Ydych chi'n siŵr eich bod eisiau dileu'r cyhoeddiad hwn?"
"Are you sure you want to remove this subscription?","Ydych chi'n siŵr eich bod eisiau dileu'r tanysgrifiad hwn?"
"As a verified user of the CaTH service you are authorised to download this file containing personal protected data.","Fel un o ddefnyddwyr y gwasanaeth CaTH sydd wedi ei ddilysu rydych wedi eich awdurdodi i lwytho'r ffeil hon sy'n cynnwys data personol gwarchodedig i lawr."
"As a verified user of the court and Tribunal Hearing service you are authorised to download this file containing personal protected data.","Fel defnyddiwr o'r Gwasanaeth Gwrandawiadau yn y Llysoedd a'r Tribiwnlysoedd rydych wedi'ch awdurdodi i lawrlwytho'r ffeil hon sy'n cynnwys data gwarchodedig personol."
"ASN (Arrest Summons Number)","ASN (Rhif Gwŷs  Arestio)"
"at","am"
"At least 1 subscription is needed.","Mae angen o leiaf un tanysgrifiad."
"Attendance Method","Dull Presenoldeb"
"August","Awst"
"Back","Yn ôl"
"Back to top","Yn 'l i frig y dudalen"
"Before","Gerbron"
"Before you start","Cyn i chi ddechrau"
"Bilingual","Ddwyieithog"
"Bulk delete subscriptions","Dileu swmp o danysgrifiadau"
"Bulk unsubscribe","Datdanysgrifio Swmp"
"By case name","Yn 'l enw'r achos"
"By case reference number or case ID","Yn 'l cyfeirnod yr achos neu rif adnabod yr achos"
"By case reference number or case ID","Yn 'l cyfeirnod yr achos neu rif adnabod yr achos"
"By case reference number, case ID or unique reference number (URN)","Yn 'l cyfeirnod yr achos, ID yr achos neu gyfeirnod unigryw (URN)"
"By court or tribunal name","Yn 'l enw'r llys neu dribiwnlys"
"By name of party or parties involved","Yn 'l enw(au)'r parti neu bart'on sy'n rhan o'r achos"
"By party name","Yn 'l enw'r parti"
"By unique reference number (URN)","Yn 'l y cyfeirnod unigryw (URN)"
"Cancel","Canslo"
"Care Standards","Safonau Gofal"
"Care Standards Tribunal Hearing List","Rhestr Gwrandawiadau'r Tribiwnlys Safonau Gofal"
"Case Details","Manylion yr achos"
"Case Name","Enw'r Achos"
"Case name not found. Please try again or search by case reference number, unique reference number, or by a whole court","Methu dod o hyd i enw'r achos. Rhowch gynnig arall arni neu chwiliwch yn 'l cyfeirnod yr achos, y cyfeirnod unigryw neu enw'r llys"
"Case Name Search","Chwilio yn 'l enw'r achos"
"Case Name Search Results","Canlyniadau'r chwiliad yn 'l enw'r achos"
"Case Number","Rhif yr Achos"
"Case Reference","Cyfeirnod yr Achos"
"Case Reference Number","Cyfeirnod yr Achos"
"Case reference number not found. Please try again or search by case name, by unique reference number, or by a whole court","Methu dod o hyd i gyfeirnod yr achos. Rhowch gynnig arall arni neu chwiliwch yn 'l enw'r achos, y cyfeirnod unigryw, neu enw'r llys"
"Case reference number or case ID","Cyfeirnod yr achos neu rif adnabod yr achos"
"case(s) generated on","achos(ion) a gynhyrchwyd ar"
"Cases ready to be decided by a magistrate without a hearing. Includes TV licensing and minor traffic offences such as speeding.","Achosion sy'n barod i'w penderfynu gan ynad heb gynnal gwrandawiad. Mae'n cynnwys troseddau trwyddedu teledu a m'n droseddau traffig fel goryrru."
"Cases ready to be decided by a magistrate without a hearing. Includes TV licensing, minor traffic offences such as speeding and more.","Achosion sy'n barod i'w penderfynu gan ynad heb gynnal gwrandawiad. Mae'n cynnwys troseddau trwyddedu teledu a m'n droseddau traffig fel goryrru."
"Choose File","Dewis ffeil"
"Civil","Llys Sifil"
"Civil and Family Daily Cause List","Rhestr Achosion Dyddiol y Llys Sifil a Theulu"
"Civil and Family Daily Cause list for","Rhestr Ddyddiol o Achosion Sifil a Theulu ar gyfer"
"Civil and Family hearings in England and Wales, excluding Court of Protection and the Royal Courts of Justice","Gwrandawiadau Sifil a Theulu yng Nghymru a Lloegr, ac eithrio'r Llys Gwarchod a'r Llysoedd Barn Brenhinol"
"Civil Daily Cause List","Rhestr Achosion Dyddiol y Llys Sifil"
"Claimant","Hawlydd"
"Clear filters","Clirio'r ffiltrau"
"Configure the lists you will receive for your selected courts and tribunals. This will not affect any specific cases you may have subscribed to. Also don't forget to come back regularly to see new list types as we add more.","Dewiswch y rhestri y byddwch yn eu cael ar gyfer y llysoedd a'r tribiwnlysoedd yr ydych wedi'u dethol. Ni fydd hyn yn effeithio ar unrhyw achosion penodol yr ydych efallai wedi tanysgrifio iddynt. Hefyd, peidiwch ag anghofio dychwelyd yn rheolaidd i weld mathau newydd o restri wrth i ni ychwanegu mwy."
"Confirm New Password","Cadarnhau cyfrinair newydd"
"Confirm Subscriptions","Cadarnhau tanysgrifiadau"
"Confirm your email subscriptions","Cadarnhewch eich tanysgrifiadau e-bost"
"Contact","Cysylltu â ni"
"Contact the:","Cysylltwch :"
"Continue","Dewiswch opsiwn"
"Convic","Nodiadau Rhestru"
"Convincted on","Cafwyd yn euog ar"
"Cookies","Cwcis"
"Cookies are small files saved on your phone, tablet or computer when you visit a website.","Ffeiliau bach sy'n cael eu cadw ar eich ff'n, llechen neu gyfrifiadur pan fyddwch yn ymweld â gwefan yw cwcis."
"County","Sir"
"Court","Llys"
"Court and tribunal hearings","Gwrandawiadau llys a thribiwnlys"
"Court and tribunal hearings service account email verification code / Nonprod - Court and tribunal hearings service account email verification code","Cod dilysu cyfrif e-bost gwasanaeth gwrandawiadau'r llysoedd a'r tribiwnlysoedd / Nonprod -  Cod dilysu cyfrif e-bost gwasanaeth gwrandawiadau'r llysoedd a'r tribiwnlysoedd"
"Court of Protection","Y Llys Gwarchod"
"Court of Protection Daily Cause List","Rhestr Achosion Dyddiol y Llys Gwarchod"
"Court or tribunal name","Enw'r llys neu'r tribiwnlys"
"Court or tribunal name must be 3 characters or more","Rhaid i enw'r llys neu dribiwnlys fod yn 3 nod neu fwy"
"Courtroom","Ystafell llys"
"Courts and tribunals in England and Wales","Llysoedd a Thribiwnlysoedd yng Nghymru a Lloegr"
"Create a Court and tribunal hearing account","Creu cyfrif gwrandawiadau Llys a Thribiwnlys"
"Crown","Llys y Goron"
"Crown Daily List","Rhestr Ddyddiol Llys y Goron"
"Crown Firm List","Rhestr Cwmni Llys y Goron"
"Crown Warned List","Rhestr Rybudd Llys y Goron"
"Daily List","Rhestr Ddyddiol"
"Data Source","Ffynhonnell Data"
"Date","Dyddiad"
"Date added","Dyddiad wedi'i ychwanegu"
"Date of birth","Dyddiad geni"
"Date of Plea","Dyddiad Pledio"
"December","Rhagfyr"
"Defendant Address","Cyfeiriad y Diffynnydd"
"Defendant Name(s)","Enw'r Diffynnydd(Diffynyddion)"
"Defendant Name(s)","Enw(au)'r Diffynydd(ion)"
"Details submitted","Cyflwyno manylion"
"Dispute Resolution Hearings are not attended hearings for the purpose of Practice Direction 4C. Requests to observe any other hearing should be made to:","Nid oes caniat'd i fynychu Gwrandawiadau Datrys Anghydfodau at ddibenion Cyfarwyddyd Ymarfer 4C.  Dylid gwneud cais i arsylwi unrhyw wrandawiad arall i:"
"DOB (Date of Birth) and Age","Dyddiad Geni ac Oedran"
"Double check your spelling","Gallwch wella eich canlyniadau trwy wirio eich sillafu eto."
"Download a copy","Download a copy"
"Download this Microsoft Excel spreadsheet to your device","Llwytho'r daenlen Microsoft Excel yma ar eich dyfais"
"Download this PDF to your device","Llwytho'r PDF yma ar eich dyfais"
"Download your file","Llwytho eich ffeil i lawr"
"Draft","Drafft"
"Duration","Hyd"
"East Midlands","Canol Dwyrain Lloegr"
"East of England","Dwyrain Lloegr"
"Email address","Cyfeiriad e-bost"
"E-mail address verified. You can now continue.","E-bost wedi'i ddilysu. Gallwch chi nawr fwrw ymlaen."
"Email Subscriptions","tanysgrifiadau e-bost"
"Employer","Cyflogwr"
"Employment Tribunals","Tribiwnlysoedd Cyflogaeth"
"Employment Tribunals Daily List","Rhestr Ddyddiol y Tribiwnlysoedd Cyflogaeth"
"Employment Tribunals Fortnightly Press List","Rhestr y Wasg Pob Pythefnos y Tribiwnlysoedd Cyflogaeth"
"Enter a valid case reference number","Rhowch gyfeirnod achos dilys"
"Error:","Gwall:"
"Essential Cookies","Cwcis hanfodol"
"Essential cookies keep your information secure while you use Courts and Tribunal Hearings. We do not need to ask permission to use them.","Mae cwcis hanfodol yn cadw eich gwybodaeth yn ddiogel tra rydych yn cymryd rhan mewn Gwrandawiadau Llys a Thribiwnlys. Nid oes rhaid inni ofyn am ganiat'd i'w defnyddio."
"Expiry","Dod i ben"
"Family","Teulu"
"Family Daily Cause List","Rhestr Achosion Dyddiol y Llys Teulu"
"February","Chwefror"
"File Removal Successful","Wedi dileu ffeil yn llwyddiannus"
"Filter","Ffiltro"
"Filter by Jurisdiction or region","Hidlo yn 'l awdurdodaeth neu ranbarth"
"Final","Terfynol"
"Find a court or tribunal","dod o hyd i lys neu dribiwnlys"
"Find content to remove","Dod o hyd i gynnwys i'w ddileu"
"Firm List","Rhestr Derfynol"
"Firm list","Rhestr y cwmni"
"First-tier Tribunal","Tribiwnlys Haen Gyntaf"
"Fixed For","Pennu ar gyfer"
"For","Ar"
"for courts and some tribunals in Scotland","ar gyfer rhai Llysoedd a Thribiwnlysoedd yn Yr Alban"
"for courts and tribunals in Northern Ireland","ar gyfer llysoedd a thribiwnlysoedd yng Ngogledd Iwerddon"
"For example, [xxx]","Er enghraifft, [xxx]"
"For example, Oxford Combined Court","Er enghraifft, Oxford Combined Court"
"For example, Smith.","Er enghraifft, Smith."
"For example, Toyota v John Smith.","Er enghraifft, Toyota v Dafydd Roberts."
"For the Trial","Ar gyfer y treial"
"Forgot your password?","Wedi anghofio eich cyfrinair?"
"Fortnightly List","Rhestr bob pythefnos"
"Fortnightly Press List","Rhestr y Wasg bob pythefnos"
"FTA/Respondent","FTA/Atebydd"
"FTA/Respondent","FTA/Atebydd"
"Full list","Rhestr lawn"
"Full name","Enw llawn"
"Get emails about hearings from different courts and tribunals and manage your subscriptions.","Cael e-byst am wrandawiadau gan wahanol lysoedd a thribiwnlysoedd a rheoli eich tanysgrifiadau."
"Hearing Channel","Sianel y Gwrandawiad"
"Hearing Date","Dyddiad y gwrandawiad"
"Hearing Number","Rhif y Gwrandawiad"
"Hearing Platform","Platfform y Gwrandawiad"
"Hearing Room","Ystafell Wrandawiadau"
"Hearing Time","Amser y Gwrandawiad"
"Hearing Type","Math o Wrandawiad"
"Hearing type","Math o wrandawiad"
"hearings for","gwrandawiadau ar gyfer"
"hearings in Civil and Family Courts in [xxx] and","gwrandawiadau mewn Llysoedd Sifil a Theulu yn Milton Keynes, Oxford ac Reading"
"Help","Cymorth"
"Hide","Cuddio"
"Hide all section","Cuddio pob adran"
"Hide Filters","Cuddio'r ffiltrau"
"High Wycombe Magistrates' Court and County Court","Llys Ynadon a Llys Sirol High Wycombe"
"HMCTS will review your details.","Bydd GLlTEM yn adolygu eich manylion."
"Home","Tudalen hafan"
"Hour","Awr"
"Hours","Awr"
"How do you want to add an email subscription?","Sut ydych chi eisiau ychwanegu tanysgrifiad e-bost?"
"How do you want to add an email subscription?","Sut ydych chi eisiau ychwanegu tanysgrifiad e-bost?"
"How do you want to sign in?","Sut hoffech chi fewngofnodi?"
"How to add","Sut i ychwanegu"
"ID Consent
By uploading your document, you confirm that you consent to this processing of your data

T&C's
A court and tribunal hearing account is granted based on you having legitimate reasons to access information not open to the public e.g. you are a member of a media organisation and require extra information to report on hearings.

If your circumstances change and you no longer have legitimate reasons to hold a court and tribunal hearings account e.g. you leave your employer entered above. It is your responsibility to inform HMCTS of this for your account to be deactivated.

Please tick this box to agree to the above terms and conditions","Adnabyddwr Cydsynio
Trwy lwytho eich dogfen, rydych yn cadarnhau eich bod yn cydsynio i'ch data gael ei brosesu

Telerau ac Amodau
Caniateir ichi gael cyfrif ar gyfer gwrandawiadau llys a thribiwnlys ar yr amod bod gennych resymau cyfreithiol dros gael mynediad at wybodaeth nad yw ar gael i'r cyhoedd e.e. rydych yn aelod o sefydliad cyfryngau ac angen gwybodaeth ychwanegol i riportio ar wrandawiadau.

Os bydd eich amgylchiadau'n newid ac nid oes gennych mwyach resymau cyfreithiol dros gael cyfrif ar gyfer gwrandawiadau llys a thribiwnlys e.e. rydych yn gadael eich cyflogwr a enwyd uchod, eich cyfrifoldeb chi yw hysbysu GLlTEM am hyn fel y gellir dadactifadu eich cyfrif.

Ticiwch y blwch hwn, os gwelwch yn dda i gytuno i'r telerau ac amodau uchod"
"If you do not get an email from us within 5 days, call our court and tribunals service center on 0300 303 0656.","Os na chewch e-bost gennym o fewn 5 diwrnod, ffoniwch ein canolfan wasanaeth llysoedd a thribiwnlysoedd ar 0300 303 0656."
"If you have any questions, call 0300 303 0656.","Os oes gennych gwestiwn, ffoniwch 0300 303 0656."
"If you have entered a valid email address, we will send you an email with a verification code to enter below and then reset your password.","Os ydych wedi nodi cyfeiriad e-bost dilys, byddwn yn anfon e-bost atoch gyda chod dilysu i'w nodi isod ac yna ailosod eich cyfrinair."
"If you un-select all hearing lists on this screen we will revert your subscriptions to default and you will receive all list types. If you want to stop receiving all lists or stop receiving lists from a particular court/tribunal please remove the subscriptions on the previous screen.","Os byddwch yn dad-ddewis yr holl restri gwrandawiad ar y sgrin hon, bydd eich tanysgrifiadau yn dychwelyd i fod yn ddiofyn, a byddwch yn cael yr holl restri. Os nad ydych eisiau cael yr holl restri neu restri o lys/tribiwnlys penodol, dil'wch y tanysgrifiadau ar y sgrin flaenorol."
"If you're in Scotland or Northern Ireland","Os ydych yn byw yn Yr Alban neu Gogledd Iwerddon"
"Immigration and Asylum Chamber","Siambr Mewnfudo a Lloches"
"Immigration and Asylum Chamber Daily List","Rhestr Ddyddiol y Siambr Mewnfudo a Lloches"
"Important Information","Gwybodaeth Bwysig"
"In order to","Er mwyn"
"In the Court of Protection","Yn y Llys Gwarchod"
"Interpreter Language","Iaith y Cyfieithydd"
"Invalid username or password.","Enw defnyddiwr neu gyfrinair annilys."
"It is your responsibility to ensure you comply with any GDPR and/or reporting restrictions regarding the content of this file.","Eich cyfrifoldeb chi yw sicrhau eich bod yn cydymffurfio ag unrhyw gyfyngiadau GDPR a/neu gyfyngiadau riportio gyda golwg ar gynnwys y ffeil hon."
"January","Ionawr"
"Judges will have regard to the principles of open justice when considering the use of telephone and video technology. Observers may be excluded where necessary to secure the proper administration of justice.","Wrth ystyried a ddylid defnyddio technoleg ff'n a fideo ai peidio, bydd Barnwyr yn ystyried yr egwyddor cyfiawnder agored.  Gellir gwahardd unigolion rhag mynychu os oes angen er mwyn sicrhau y gweinyddir cyfiawnder yn briodol."
"July","Gorffennaf"
"June","Mehefin"
"Jurisdiction","Awdurdodaeth"
"Kind regards","Cofion gorau"
"Language","Iaith"
"Last Updated","Diweddarwyd diwethaf"
"Linked Case","Achos cysylltiedig"
"Linked Cases","Achosion cysylltiedig"
"List containing","Rhestr sy'n cynnwys"
"List for","Rhestr ar gyfer"
"Location","Lleoliad"
"Login","Mewngofnod"
"London","Llundain"
"Magistrates","Llys Ynadon"
"Magistrates Public List","Rhestr Gyhoeddus y Llys Ynadon"
"Magistrates Standard List","Rhestr Safonol y Llys Ynadon"
"Manage your current email subscription","Rheoli eich tanysgrifiadau e-bost cyfredol"
"Manage your current subscriptions","Rheoli eich tanysgrifiadau presennol"
"March","Mawrth"
"Mark for deletion","Ei farcio ar gyfer ei ddileu"
"May","Mai"
"Milton Keynes County Court and Family Court","Llys Sirol a Llys Teulu Milton Keynes"
"Min","Munud"
"Mins","Munud"
"Must be a jpg, pdf, png, or tiff file","Rhaid iddi fod yn ffeil jpg, pdf, png, neu tiff."
"Name","Enw"
"Name of party or parties involved","Enw'r parti neu'r part'on sy'n rhan o'r achos"
"National","Cenedlaethol"
"National lists","Rhestrau cenedlaethol"
"New Cases","Achosion Newydd"
"New Password","Cyfrinair Newydd"
"No","Nac ydw"
"No courts/tribunals are available for the letter","Does dim llysoedd/tribiwnlysoedd ar gael ar gyfer y llythyr"
"No courts/tribunals are available for the letter","Nid oes llys/tribiwnlys ar gael ar gyfer y llythyr"
"No file chosen","Heb ddewis ffeil"
"No Pending Case Subscriptions","Dim achosion ar y gweill"
"No pending court subscriptions","Dim tanysgrifiadau yn aros am benderfyniad"
"No Representative","Dim cynrychiolydd"
"No results found","Ni ddaethpwyd o hyd i unrhyw ganlyniad"
"North East","Gogledd Ddwyrain Lloegr"
"North West","Gogledd Orllewin Lloegr"
"Northern Ireland Courts and Tribunals Service","Gwasanaeth Llysoedd a Thribiwnlysoedd Gogledd Iwerddon"
"Northern Ireland Courts and Tribunals Service","Gwasanaeth Llysoedd a Thribiwnlysoedd Gogledd Iwerddon"
"Not Found","Heb ganfod"
"November","Tachwedd"
"October","Hydref"
"Offence","Trosedd"
"One or more fields are filled out incorrectly. Please check your entries and try again.","Mae un neu fwy o feysydd wedi'u llenwi'n anghywir. Gwiriwch eich ceisiadau a rhowch gynnig arall arni."
"online case management for legal professionals","Rheoli achosion ar-lein ar gyfer gweithwyr proffesiynol ym maes y gyfraith"
"Open justice is a fundamental principle in our courts and tribunals system, and will continue to be as we increase the use of audio and video technology. 
 
Parties and representatives will be informed as to the arrangements for hearing cases. Any other person interested in joining the hearing should contact:  
 
[venue email address] [venue telephone number] 
 
When considering the use of telephone and video technology, the judiciary will have regard to the principles of open justice. Judges may determine that a hearing should be held in private if this is necessary to secure the proper administration of justice.","Mae cyfiawnder agored yn egwyddor hanfodol yn system y llysoedd a'r tribiwnlysoedd, a bydd hyn yn parhau wrth i ni ddefnyddio mwy ar dechnoleg sain a fideo. 
 
Bydd part'on a chynrychiolwyr yn cael gwybod ynghylch y trefniadau ar gyfer gwrando achosion. Dylai unrhyw un arall sydd â diddordeb mewn ymuno 'r gwrandawiad gysylltu :  
 
[venue email address] [venue telephone number] 

Wrth ystyried a ddylid defnyddio technoleg ff'n a fideo, bydd y farnwriaeth yn ystyried yr egwyddor cyfiawnder agored. Efallai y bydd barnwyr yn penderfynu y dylid cynnal gwrandawiad yn breifat os yw hyn yn angenrheidiol i sicrhau y gweinyddir cyfiawnder yn briodol."
"Open justice is a fundamental principle in our courts and tribunals system, and will continue to be as we increase the use of audio and video technology. 

 

Please contact the Care Standards Office at [EMAIL ADDRESS] for details on how to access video hearings.  

 

When considering the use of telephone and video technology, the judiciary will have regard to the principles of open justice. Judges may determine that a hearing should be held in private if this is necessary to secure the proper administration of justice.","Mae cyfiawnder agored yn egwyddor sylfaenol yn ein system llysoedd a thribiwnlysoedd, a bydd yn parhau felly wrth i ni ddefnyddio mwy ar dechnoleg sain a fideo. 

Cysylltwch 'r Swyddfa Safonau Gofal yn [EMAIL ADDRESS] i gael manylion am sut i gael mynediad at wrandawiadau fideo.  

Wrth ystyried defnyddio technoleg ff'n a fideo, bydd y farnwriaeth yn rhoi sylw i egwyddorion cyfiawnder agored. Gall barnwyr benderfynu cynnal gwrandawiad yn breifat os oes angen hynny er mwyn sicrhau'r broses o weinyddu cyfiawnder yn briodol."
"Open justice is a fundamental principle in our courts and tribunals system, and will continue to be as we increase the use of audio and video technology.

Requests from the media and others to observe a hearing remotely in [xxx] should be made direct to: [xxx] or by calling [xxx]. Arrangements will then be made to enable you to attend.

When considering the use of telephone and video technology, the judiciary will have regard to the principles of open justice. Judges may determine that a hearing should be held in private if this is necessary to secure the proper administration of justice.","Mae cyfiawnder agored yn egwyddor sylfaenol yn ein llysoedd a'n tribiwnlysoedd a bydd yn parhau felly wrth inni gynyddu'r defnydd o dechnoleg sain a fideo.
Dylai ceisiadau gan y cyfryngau a phobi eraill i arsylwi gwrandawiad o bell [xxx] gael eu gwneud yn uniongyrchol i [xxx] neu drwy ffonio [xxx]. Yna, gwneir trefniadau ichi fod yn bresennol. 
Wrth ystyried defnyddio technoleg ffon a fideo, bydd y farnwriaeth yn ystyried egwyddorion cyfiawnder agored.
Gall barnwyr benderfynu y dylid cynnal gwrandawiad yn breifat os oes angen gwneud hynny er mwyn sicrhau bod cyfiawnder yn cael ei weinyddu'n briodol.

Dylid cyfeirio ceisiadau gan y cyfryngau ac eraill i arsylwi gwrandawiad o bell yn [xxx] at: [xxx] neu drwy ffonio [xxx]. Yna fe wneir trefniadau i'ch galluogi i fynychu.

Wrth ystyried a ddylid defnyddio technoleg ff'n a fideo, bydd y farnwriaeth yn ystyried yr egwyddor mynediad at gyfiawnder. Efallai y bydd barnwyr yn penderfynu y dylid cynnal gwrandawiad yn breifat os yw hyn yn angenrheidiol i sicrhau y gweinyddir cyfiawnder yn briodol."
"Open justice is a fundamental principle in our courts and tribunals system, and will continue to be as we increase the use of audio and video technology.

When considering the use of telephone and video technology, the judiciary will have regard to the principles of open justice. Judges may determine that a hearing should be held in private if this is necessary to secure the proper administration of justice.

The inclusion of a case in the Press List is no guarantee that it is not subject to a restricted reporting order.  Members of the Press should ensure that no order exists on an individual case before submitting material for publication.

Requests from the media and members of the public to observe a hearing remotely should be made in advance to: [Regional Admin Office (Owning Hearing Location) Name], [Email], [Telephone Number] 

The naming convention in the subject heading of an email request should read:
""MEDIA OR PUBLIC ACCESS REQUEST - AN Other v AN Other - Hearing Date.","Mae cyfiawnder agored yn egwyddor hanfodol yn system y llysoedd a'r tribiwnlysoedd, a bydd hyn yn parhau wrth i ni ddefnyddio mwy ar dechnoleg sain a fideo.

Wrth ystyried defnyddio technoleg ff'n a fideo, bydd y farnwriaeth yn rhoi sylw i egwyddorion cyfiawnder agored. Gall barnwyr benderfynu cynnal gwrandawiad yn breifat os oes angen hynny er mwyn sicrhau'r broses o weinyddu cyfiawnder yn briodol.

Nid yw'r ffaith bod achos wedi ei gynnwys yn Rhestr y Wasg yn gwarantu na fydd yn destun gorchymyn adrodd cyfyngedig.  Dylai aelodau'r Wasg sicrhau nad oes gorchymyn yn bodoli ar achos unigol cyn cyflwyno deunydd i'w gyhoeddi.

Dylai'r cyfryngau ac aelodau'r cyhoedd wneud cais i arsylwi gwrandawiad o bell ymlaen llaw i: [Regional Admin Office (Owning Hearing Location) Name], [Email], [Telephone Number]                      
                                                                                                  Dylai'r confensiwn enwi ym mhennawd neges e-bost nodi:
""MEDIA OR PUBLIC ACCESS REQUEST - AN Other v AN Other - Hearing Date."
"Open justice is a fundamental principle in our courts and tribunals system, and will continue to be so as we increase the use of audio and video technology.","Mae cyfiawnder agored yn egwyddor hanfodol yn system y llysoedd a'r tribiwnlysoedd, a bydd hyn yn parhau wrth i ni ddefnyddio mwy ar dechnoleg sain a fideo."
